Id,Name,BvD,Country_Id,TURN,P/L_bef_tax,Net_inc,CF,TASS,EC,Ratio,Prof_marg,ROE,ROCE,Solvency,EM,point,Cluster
EASIN_58,AEROESTRUCTURAS SEVILLA SL,ESB91320572,ES,3.8547916940539855,-0.05344346985840127,-0.049648861045040654,2.8488047010518036,3.571242850560224,0.0,-0.24095385802223207,0.35502692759899407,0.0709951307856066,0.6837253926808364,-2.1470889321499453,1.806179973983887,"(37.283689, -5.9226718, 0.0)",6
EASIN_59,AEROMARITIME (MEDITERRANEAN) LIMITED,MTC4537,MT,3.9056340013269546,-0.05483253732734739,-0.05350331636307867,2.780677274433368,3.9506082247842307,3.1322596895310446,-0.26397258916630967,0.15651686091244832,0.17098898730028597,0.03952719974683155,-0.3396239421666489,1.7558748556724915,"(35.8269478, 14.5274189, 0.0)",-1
EASIN_60,AEROMECANIC 34,FR438036816,FR,3.2533380053261065,-0.055033648105679664,-0.05146012371598115,2.326335860928751,3.1914510144648953,2.506505032404872,-0.22064321289510477,0.45006306690754166,0.569309799075804,0.4559080673981495,-0.17623897636659397,1.255272505103306,"(43.4162729, 5.2146275, 0.0)",-1
EASIN_61,AEROMEDIA UAV SL.,ESB70341649,ES,3.258397804095509,-0.055758582306644815,-0.0524485871857932,2.089905111439398,3.3723595825243238,2.7520484478194387,-0.21522704086120414,0.06547756858416671,0.020419087529147163,0.060026397490838476,-0.07543978015477365,1.3617278360175928,"(43.3330642, -8.3170764, 0.0)",-1
EASIN_62,AEROMETALLIC COMPONENTS SA,ESA01460476,ES,4.430397591386967,-0.09467117941651614,-0.09832654532656668,0.0,4.7811879088036635,2.100370545117563,-0.12044403026794337,-1.328533839310838,0.0709951307856066,-0.24789772181275493,-0.7900609473281263,1.462397997898956,"(42.8465088, -2.6724025, 0.0)",5
EASIN_63,AEROMETALLIC TARAZONA SA.,ESA50854512,ES,4.123753668755842,-0.050356653260743206,-0.04762223482481149,3.184975190698261,4.1867586271816135,3.5503506723016156,-0.2802211052680115,0.4309670202240484,0.36347578224580773,0.5335433269392822,-0.10161748185754492,2.2174839442139063,"(41.9065093, -1.7216461, 0.0)",-1
EASIN_64,AERONAMIC B.V.,NL08127192,NL,4.633033943805569,-0.02411403518580474,-0.022457832411775295,3.864036182725775,4.752501722247096,4.695962986226725,0.5403289578679318,0.7422769905758797,0.15190576923405372,0.03952719974683155,1.845161024084178,2.113943352306837,"(52.3567956, 6.66725277634109, 0.0)",-1
EASIN_65,AERONAMIC EASTERN EUROPE SRL,RO23996481,RO,3.860278099752235,-0.05333122198212279,-0.04989183530577657,2.864511081058392,3.80174661921946,3.2713768718940743,-0.25043215908155814,0.36568518621303675,0.3138373537498279,0.4790241840030936,0.0906532237524645,1.8976270912904414,"(45.7973912, 24.1519202, 0.0)",-1
EASIN_66,AERONAUTICA CALDERERIA SA,ESA41466574,ES,3.898615497416186,-0.041358115179085456,-0.03928932211002729,3.450403086155366,4.392890320703347,4.3787793310606915,4.043238220793155,1.7743516997023503,0.14374300543693702,0.03952719974683155,2.116265727925521,1.4471580313422192,"(37.4355931, -6.039916, 0.0)",6
EASIN_67,AERONAUTICA DE UTILLAJE INTERNACIONAL SL.,ESB86526803,ES,3.3677285460869766,-0.05606726396641062,-0.05274678286942365,1.7634279935629373,3.2853322276438846,3.2352758766870524,0.6269877104103415,-0.06464200532893821,-0.03440379905419056,-0.06136956078040821,1.883976236953804,1.4771212547196624,"(36.5297438, -6.2928976, 0.0)",18
